"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Reciprocal_Role__c","LLC_BI__Self_Reciprocating__c","LLC_BI__Sort_Order__c","LLC_BI__Role_Type__c","LLC_HI__Manage_Reciprocal_Involvements__c","LLC_BI__lookupKey__c","nPortal__Allows_Portal_Access__c","LLC_BI__Is_Household_Member__c","LLC_BI__Use_in_NCC__c","LLC_BI__Enable_Treasury_Maintenance_Display__c","LLC_BI__Screen_Section__c","wmx_module__c"
"a1f6g0000001hjkAAA","0056g000003hlBjAAI","","Original Account","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","false","0.0","","false","a1f6g0000001hjkAAA","false","false","false","false","",""
"a1f6g0000001hjlAAA","0056g000003hlBjAAI","","Beneficial Owner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","false","210.0","","false","a1f6g0000001hjlAAA","false","false","false","false","",""
"a1f6g0000001hjmAAA","0056g000003hlBjAAI","","Subsidiary","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","170.0","","false","a1f6g0000001hjmAAA","false","false","false","false","",""
"a1f6g0000001hjnAAA","0056g000003hlBjAAI","","Affiliated Company","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","280.0","","false","a1f6g0000001hjnAAA","false","false","false","false","",""
"a1f6g0000001hjoAAA","0056g000003hlBjAAI","","Sibling","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","40.0","","false","a1f6g0000001hjoAAA","false","false","false","false","",""
"a1f6g0000001hjpAAA","0056g000003hlBjAAI","","Partner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","140.0","","false","a1f6g0000001hjpAAA","false","false","false","false","",""
"a1f6g0000001hjqAAA","0056g000003hlBjAAI","","Colleague","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","150.0","","false","a1f6g0000001hjqAAA","false","false","false","false","",""
"a1f6g0000001hjrAAA","0056g000003hlBjAAI","","Other","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","220.0","","false","a1f6g0000001hjrAAA","false","false","false","false","",""
"a1f6g0000001hjsAAA","0056g000003hlBjAAI","","Friend","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","70.0","","false","a1f6g0000001hjsAAA","false","false","false","false","",""
"a1f6g0000001hjtAAA","0056g000003hlBjAAI","","Related","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","230.0","","false","a1f6g0000001hjtAAA","false","false","false","false","",""
"a1f6g0000001hjuAAA","0056g000003hlBjAAI","","Competitor","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","210.0","","false","a1f6g0000001hjuAAA","false","false","false","false","",""
"a1f6g0000001hjvAAA","0056g000003hlBjAAI","","Business Partner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","160.0","","false","a1f6g0000001hjvAAA","false","false","false","false","",""
"a1f6g0000001hjwAAA","0056g000003hlBjAAI","","Life Partner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","60.0","","false","a1f6g0000001hjwAAA","false","false","false","false","",""
