"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c","wmx_module__c"
"a1D6g000001DSpbEAG","","42633939807447466","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","Credit Memo","true","credit_memo_viewer","true","",""
"a1D6g000001DSpcEAG","","33D71785_E89E_4EA6_8377_861CD26A109F","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","collateral2_migration_category","true","collateral2_1_migration_key","true","",""
"a1D6g000001DSpdEAG","","42734409802566035","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","Excluded System Property Category","true","Excluded Pending Facilities Key","Declined, Withdrawn, DECLINED","",""
"a1D6g000001DSpeEAG","","42253751423221801","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","MemoMoveModUpdateTrigger Category","true","MemoMoveModUpdateTrigger Status Key","false","",""
"a1D6g000001DSpfEAG","","42373550837081773","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","MEMO_APPROVAL_REQUIRED","true","Loan_Information_Change__c","MemoCategoryLoanInformation","",""
"a1D6g000001DSpgEAG","","42605363348918679","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","MEMO_APPROVAL_NOT_REQUIRED","true","Borrower_Removed__c","NONE","",""
"a1D6g000001DSphEAG","","605363348918678","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","MEMO_APPROVAL_NOT_REQUIRED","true","Borrower_Added__c","NONE","",""
"a1D6g000001DSpiEAG","","CLA Budget Amount Changes","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","MEMO_APPROVAL_REQUIRED","true","CLA_Budget_Amount_Change__c","NONE","",""
"a1D6g000001DSpjEAG","","CLA Budget Line Item Change","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","MEMO_APPROVAL_REQUIRED","true","CLA_Budget_Line_Item_Change__c","","",""
"a1D6g000001DSpkEAG","","Prevent Field Map Override","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","Field Mapping Installer Category","true","Field Mapping Installer Key","true","The following system property prevents the Fall 2016 GA release data installer from overwriting the field maps for three Opportunity object fields:
Product Line, Product Type, and Product. Configure this system property before running the data installers",""
"a1D6g000002K5MxEAK","","CLEANER.Covenant Batch Updater","00D6g0000052B2qEAE","2020-04-03T15:42:18.000Z","0056g000003hlHUAAY","2020-04-03T15:42:18.000Z","0056g000003hlHUAAY","","CLEANER","true","CLEANER.Covenant Batch Updater","08e6g00000GVlHJ","",""
"a1D6g000002K68SEAS","","42494583273726072","00D6g0000052B2qEAE","2020-04-03T19:06:23.000Z","0056g000003hlHVAAY","2020-04-03T19:06:23.000Z","0056g000003hlHVAAY","","underwriting","true","RMA_AWS_YEAR","2019","",""
