"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Risk_Grade_Template__c","LLC_BI__Group_Number__c","LLC_BI__Weight__c","LLC_BI__lookupKey__c"
"a226g0000000vFyAAI","","CRE Group","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a106g0000001qY5AAI","","1.0","42261163487622849"
"a226g0000000vFzAAI","","CRE Group","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a106g0000001qYIAAY","","1.0",""
"a226g0000000vG0AAI","","CRE Group","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a106g0000001qYFAAY","","1.0","42736604037681223"
"a226g0000000vG1AAI","","CRE Group","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a106g0000001qYGAAY","","1.0","42824298052914067"
