"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nPortal__Is_Portal_Enabled__c","nFORCE__Orchestration_Step__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","nPortal__OA_Credit_Pull_Required__c","wmx_module__c","nFORCE__Primary_Button_Text__c"
"a2D6g0000000mm5EAA","0056g000003hlBjAAI","","0233","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","9000050.0","","a2E6g0000001aZdEAI","a2D6g0000000mm5EAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mm6EAA","0056g000003hlBjAAI","","0234","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","9000050.0","","a2E6g0000001aZdEAI","a2D6g0000000mm6EAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mm7EAA","0056g000003hlBjAAI","","0235","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","9000050.0","","a2E6g0000001aZdEAI","a2D6g0000000mm7EAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mm8EAA","0056g000003hlBjAAI","","0236","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-04-14T20:06:37.000Z","0056g000003hlBjAAI","","","","","","a2B6g0000000zRuEAI","false","500.0","a2E6g0000001aZuEAI","a2E6g0000001aZuEAI","28801586894797455","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mm9EAA","0056g000003hlBjAAI","","0237","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRsEAI","false","9000000.0","a2E6g0000001aZuEAI","a2E6g0000001aZuEAI","a2D6g0000000mm9EAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmAEAQ","0056g000003hlBjAAI","","0238","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","9000000.0","a2E6g0000001aZuEAI","a2E6g0000001aZuEAI","a2D6g0000000mmAEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmBEAQ","0056g000003hlBjAAI","","0239","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","9000000.0","a2E6g0000001aZuEAI","a2E6g0000001aZuEAI","a2D6g0000000mmBEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmCEAQ","0056g000003hlBjAAI","","0240","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","9000000.0","a2E6g0000001aZuEAI","a2E6g0000001aZuEAI","a2D6g0000000mmCEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmDEAQ","0056g000003hlBjAAI","","0241","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRpEAI","false","9000000.0","a2E6g0000001aYNEAY","a2E6g0000001aYNEAY","a2D6g0000000mmDEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmEEAQ","0056g000003hlBjAAI","","0242","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-04-14T20:06:37.000Z","0056g000003hlBjAAI","","","","","","a2B6g0000000zRuEAI","false","1010.0","a2E6g0000001aa0EAA","a2E6g0000001aa0EAA","85681586894797455","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmFEAQ","0056g000003hlBjAAI","","0243","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRsEAI","false","1010.0","a2E6g0000001aa0EAA","a2E6g0000001aa0EAA","a2D6g0000000mmFEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmGEAQ","0056g000003hlBjAAI","","0244","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","1010.0","a2E6g0000001aa0EAA","a2E6g0000001aa0EAA","a2D6g0000000mmGEAQ","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mmHEAQ","0056g000003hlBjAAI","","0245","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","1010.0","a2E6g0000001aa0EAA","a2E6g0000001aa0EAA","a2D6g0000000mmHEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmIEAQ","0056g000003hlBjAAI","","0246","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","1010.0","a2E6g0000001aa0EAA","a2E6g0000001aa0EAA","a2D6g0000000mmIEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmJEAQ","0056g000003hlBjAAI","","0247","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-04-14T20:06:37.000Z","0056g000003hlBjAAI","","","","","","a2B6g0000000zRuEAI","false","1000.0","","a2E6g0000001aa0EAA","11051586894797455","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmKEAQ","0056g000003hlBjAAI","","0248","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRsEAI","false","1000.0","","a2E6g0000001aa0EAA","a2D6g0000000mmKEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmLEAQ","0056g000003hlBjAAI","","0249","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","1000.0","","a2E6g0000001aa0EAA","a2D6g0000000mmLEAQ","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mmMEAQ","0056g000003hlBjAAI","","0250","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","1000.0","","a2E6g0000001aa0EAA","a2D6g0000000mmMEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmNEAQ","0056g000003hlBjAAI","","0251","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","1000.0","","a2E6g0000001aa0EAA","a2D6g0000000mmNEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmOEAQ","0056g000003hlBjAAI","","0252","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRpEAI","false","1010.0","a2E6g0000001aZVEAY","a2E6g0000001aZVEAY","a2D6g0000000mmOEAQ","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mmPEAQ","0056g000003hlBjAAI","","0253","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRpEAI","false","1000.0","","a2E6g0000001aZVEAY","a2D6g0000000mmPEAQ","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mmQEAQ","0056g000003hlBjAAI","","0254","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRsEAI","false","2010.0","a2E6g0000001aYREAY","a2E6g0000001aYREAY","a2D6g0000000mmQEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmREAQ","0056g000003hlBjAAI","","0255","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","2010.0","a2E6g0000001aYREAY","a2E6g0000001aYREAY","a2D6g0000000mmREAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmSEAQ","0056g000003hlBjAAI","","0256","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","2010.0","a2E6g0000001aYREAY","a2E6g0000001aYREAY","a2D6g0000000mmSEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmTEAQ","0056g000003hlBjAAI","","0257","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","2010.0","a2E6g0000001aYREAY","a2E6g0000001aYREAY","a2D6g0000000mmTEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmUEAQ","0056g000003hlBjAAI","","0258","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRsEAI","false","2000.0","","a2E6g0000001aYREAY","a2D6g0000000mmUEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmVEAQ","0056g000003hlBjAAI","","0259","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","2000.0","","a2E6g0000001aYREAY","a2D6g0000000mmVEAQ","false","","false","false","false","false","false","","","","","","false","",""
