"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__columns__c","LLC_BI__defaultOwner__c","LLC_BI__docManager__c","LLC_BI__lookupId__c","LLC_BI__lookupKey__c","LLC_BI__sortOrder__c","LLC_BI__status__c"
"a0W6g0000007TgbEAE","0056g000003hlBjAAI","","Loan","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","statusIcon;name;docType;firstReview;status;owner;priority;date;exceptionDate;comment","","a0V6g0000016i7BEAQ","","TA-Loan0683876925","1",""
"a0W6g0000007TgcEAE","0056g000003hlBjAAI","","Relationship","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","statusIcon;name;docType;firstReview;status;owner;priority;date;exceptionDate;comment","","a0V6g0000016i7BEAQ","","TA-Relatio0770172","2",""
