"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__docStore__c","LLC_BI__lookupKey__c","LLC_BI__namespacePrefix__c","LLC_BI__templateFileName__c","LLC_BI__Type__c","LLC_BI__ESignature_Email_Message__c","LLC_BI__Team_Sharing_Context__c"
"a0V4v00000TJAU6EAP","0056g000003hlHeAAI","","Account","2021-09-01T15:57:20.000Z","0056g000003hlHeAAI","2021-09-01T15:57:20.000Z","0056g000003hlHeAAI","","","","","","","42225810331297428","LLC_BI","","Account","",""
"a0V6g0000016i7BEAQ","0056g000003hlBjAAI","","LLC_Loan - DNU","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-08-31T15:29:39.000Z","0054v00000EIZAcAAP","","","","","","","LLC_Loan","LLC_BI","","","",""
