"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Active__c","LLC_BI__Current_Value__c","LLC_BI__Description__c","LLC_BI__Effective_Date__c","LLC_BI__External_Source__c","LLC_BI__Index__c","LLC_BI__Modification_Schedule__c","LLC_BI__lookupKey__c"
"a3N6g0000000qTjEAI","0056g000003hlBjAAI","","1 Month LIBOR Rate","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","true","0.749","Daily, Not Seasonally Adjusted, Based onU.S Dollar USD2MTD156N","2023-03-27T16:54:00.000Z","fred.stlouisfed.org/series/USD1MTD156N","LIBOR_mo_1","365",""
"a3N6g0000000qTkEAI","0056g000003hlBjAAI","","WSJ Prime Rate","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","true","3.75","Daily, Not Seasonally Adjusted, DPRIME","2023-03-27T16:53:00.000Z","fred.stlouisfed.org/series/DPRIME","Prime_FRED","365",""
