"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category_Name__c","nFORCE__Is_Active__c","nFORCE__Key__c","nFORCE__Value__c","nFORCE__Description__c","nFUSE__Is_Encrypted__c","nFUSE__Value_Data_Type__c","nFORCE__Institution_ID__c","wmx_module__c"
"a1T4v000006sOuuEAE","","64493967_134C_4D4A_AA30_190A3914725F","00D6g0000052B2qEAE","2021-08-30T15:24:44.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:15.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.endpoint","https://bridger.lexisnexis.com/LN.WebServices/11.2/XGServices.svc/Search","","false","","",""
"a1T4v000006sOuvEAE","","391C111D_050B_467D_8578_450B6F306146","00D6g0000052B2qEAE","2021-08-30T15:24:46.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:15.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.getendpoint","https://bridger.lexisnexis.com/LN.WebServices/11.2/XGServices.svc/Results","","false","","",""
"a1T4v000006sOuwEAE","","0469196A_297B_420A_8276_332C35655E65","00D6g0000052B2qEAE","2021-08-30T15:24:47.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:15.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.clientid","UnitedBankVA","","false","","",""
"a1T4v000006sOuxEAE","","6B7B374E_7663_4B0E_B12C_4D7874005B0F","00D6g0000052B2qEAE","2021-08-30T15:24:47.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:15.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.certname","","","false","","",""
"a1T4v000006sOuyEAE","","57306919_307B_4D35_8E2F_5E525272331C","00D6g0000052B2qEAE","2021-08-30T15:24:48.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:15.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.filter","","","false","","",""
"a1T4v000006sOuzEAE","","0C4F774F_1233_4A2F_9D2F_5840137F3E79","00D6g0000052B2qEAE","2021-08-30T15:24:48.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:15.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.division","Commercial Banking Group","","false","","",""
"a1T4v000006sOv0EAE","","4177134F_644C_4622_9416_2043185F2D20","00D6g0000052B2qEAE","2021-08-30T15:24:48.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.emailnotification","false","","false","","",""
"a1T4v000006sOv1EAE","","1B6B6333_3E70_4D76_A536_77435A2B6E12","00D6g0000052B2qEAE","2021-08-30T15:24:48.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.predefinedsearchname","List Screening","","false","","",""
"a1T4v000006sOv2EAE","","1D725009_3514_4D0C_B174_5F4672207D23","00D6g0000052B2qEAE","2021-08-30T15:24:48.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.saveresultsinbridger","true","","false","","",""
"a1T4v000006sOv3EAE","","024D4A0E_0C04_4E16_BC4E_7E6750023772","00D6g0000052B2qEAE","2021-08-30T15:24:49.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.rolelist","EndUser","","false","","",""
"a1T4v000006sOv4EAE","","77243675_7E22_4357_9878_082713147056","00D6g0000052B2qEAE","2021-08-30T15:24:49.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","DEALTEAM","Deal Team","","false","","",""
"a1T4v000006sOv5EAE","","2322432E_2A53_4F48_BB1D_107B7D194F1C","00D6g0000052B2qEAE","2021-08-30T15:24:49.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","COMPLIANCE","Compliance Team","","false","","",""
"a1T4v000006sOv6EAE","","54234421_3A5A_4262_8F6D_6A264C511964","00D6g0000052B2qEAE","2021-08-30T15:24:49.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","SendEmail","false","","false","","",""
"a1T4v000006sOv7EAE","","211D5E59_5350_4844_B551_6D02150B400C","00D6g0000052B2qEAE","2021-08-30T15:24:49.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","LOAN_STAGE_TRIGGER_ON","false","","false","","",""
"a1T4v000006sOv8EAE","","76757B6C_140E_4514_AD6F_774B197E2079","00D6g0000052B2qEAE","2021-08-30T15:24:49.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","CONFIG_PULLALLREQUESTS","false","","false","","",""
"a1T4v000006sOv9EAE","","1F542109_0904_494D_AA25_4B2D78731A0D","00D6g0000052B2qEAE","2021-08-30T15:24:50.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","OFAC_EXPIRATION_DAYS","90","","false","","",""
"a1T4v000006sOvAEAU","","211F0532_4779_4269_B254_412B052B715A","00D6g0000052B2qEAE","2021-08-30T15:24:50.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","OFAC_VALIDATION_STAGE_LIST","","","false","","",""
"a1T4v000006sOvBEAU","","5C59043D_0637_4463_A54C_1E3358201F51","00D6g0000052B2qEAE","2021-08-30T15:24:50.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.sendid","true","","false","","",""
"a1T4v000006sOvCEAU","","101B490F_6E19_4B5E_874C_095B735D6D47","00D6g0000052B2qEAE","2021-08-30T15:24:50.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.usev11","true","","false","","",""
"a1T4v000006sOvDEAU","","0F5D2111_1671_460B_AF0F_7D0E123C1115","00D6g0000052B2qEAE","2021-08-30T15:24:50.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.accounttype","","","false","","",""
"a1T4v000006sOvEEAU","","7C114E33_5376_4025_B800_3A052636582F","00D6g0000052B2qEAE","2021-08-30T15:24:50.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.altwatchlist","","","false","","",""
"a1T4v000006sOvFEAU","","755B1856_6633_4D62_837F_5D7F3D6C1233","00D6g0000052B2qEAE","2021-08-30T15:24:51.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.sendaddress","true","","false","","",""
"a1T4v000006sOvGEAU","","15295D00_6169_4F3A_8C39_2F205816296C","00D6g0000052B2qEAE","2021-08-30T15:24:51.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.senddob","true","","false","","",""
"a1T4v000006sOvHEAU","","0F312E3F_4236_4C41_A13B_16677D514F2D","00D6g0000052B2qEAE","2021-08-30T15:24:51.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.sendnames","true","","false","","",""
"a1T4v000006sOvIEAU","","4D121A57_717F_482E_B449_1D000E583129","00D6g0000052B2qEAE","2021-08-30T15:24:51.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.sendmiddlename","false","","false","","",""
